year,month,day,hour,minute,second,xlsdatenum
1990,1,7,5,0,0,32880.20833
1990,1,7,6,0,0,32880.25
1990,1,7,7,0,0,32880.29167
1990,1,7,8,0,0,32880.33333
1990,1,7,9,0,0,32880.375
1990,1,7,10,0,0,32880.41667
1990,1,7,11,0,0,32880.45833
1990,1,7,12,0,0,32880.5
1990,1,7,13,0,0,32880.54167
1990,1,7,14,0,0,32880.58333
1990,1,7,15,0,0,32880.625
1990,1,7,16,0,0,32880.66667
1990,1,7,17,0,0,32880.70833
1990,1,7,18,0,0,32880.75
1990,1,7,19,0,0,32880.79167
1990,1,7,20,0,0,32880.83333
1990,1,7,21,0,0,32880.875
1990,1,7,22,0,0,32880.91667
1990,1,7,23,0,0,32880.95833
1990,1,8,0,0,0,32881
1990,1,8,1,0,0,32881.04167
1990,1,8,2,0,0,32881.08333
1990,1,8,3,0,0,32881.125
1990,1,8,4,0,0,32881.16667
1990,1,8,5,0,0,32881.20833
1990,1,8,6,0,0,32881.25
1990,1,8,7,0,0,32881.29167
1990,1,8,8,0,0,32881.33333
1990,1,8,9,0,0,32881.375
1990,1,8,10,0,0,32881.41667
1990,1,8,11,0,0,32881.45833
1990,1,8,12,0,0,32881.5
1990,1,8,13,0,0,32881.54167
1990,1,8,14,0,0,32881.58333
1990,1,8,15,0,0,32881.625
1990,1,8,16,0,0,32881.66667
1990,1,8,17,0,0,32881.70833
1990,1,8,18,0,0,32881.75
1990,1,8,19,0,0,32881.79167
1990,1,8,20,0,0,32881.83333
1990,1,8,21,0,0,32881.875
1990,1,8,22,0,0,32881.91667
1990,1,8,23,0,0,32881.95833
1990,1,9,0,0,0,32882
1990,1,9,1,0,0,32882.04167
1990,1,9,2,0,0,32882.08333
1990,1,9,3,0,0,32882.125
1990,1,9,4,0,0,32882.16667
1990,1,9,5,0,0,32882.20833
1990,1,9,6,0,0,32882.25
1990,1,9,7,0,0,32882.29167
1990,1,9,8,0,0,32882.33333
1990,1,9,9,0,0,32882.375
1990,1,9,10,0,0,32882.41667
1990,1,9,11,0,0,32882.45833
1990,1,9,12,0,0,32882.5
1990,1,9,13,0,0,32882.54167
1990,1,9,14,0,0,32882.58333
1990,1,9,15,0,0,32882.625
1990,1,9,16,0,0,32882.66667
1990,1,9,17,0,0,32882.70833
1990,1,9,18,0,0,32882.75
1990,1,9,19,0,0,32882.79167
1990,1,9,20,0,0,32882.83333
1990,1,9,21,0,0,32882.875
1990,1,9,22,0,0,32882.91667
1990,1,9,23,0,0,32882.95833
1990,1,10,0,0,0,32883
1990,1,10,1,0,0,32883.04167
1990,1,10,2,0,0,32883.08333
1990,1,10,3,0,0,32883.125
1990,1,10,4,0,0,32883.16667
1990,1,10,5,0,0,32883.20833
1990,1,10,6,0,0,32883.25
1990,1,10,7,0,0,32883.29167
1990,1,10,8,0,0,32883.33333
1990,1,10,9,0,0,32883.375
1990,1,10,10,0,0,32883.41667
1990,1,10,11,0,0,32883.45833
1990,1,10,12,0,0,32883.5
1990,1,10,13,0,0,32883.54167
1990,1,10,14,0,0,32883.58333
1990,1,10,15,0,0,32883.625
1990,1,10,16,0,0,32883.66667
1990,1,10,17,0,0,32883.70833
1990,1,10,18,0,0,32883.75
1990,1,10,19,0,0,32883.79167
1990,1,10,20,0,0,32883.83333
1990,1,10,21,0,0,32883.875
1990,1,10,22,0,0,32883.91667
1990,1,10,23,0,0,32883.95833
1990,1,11,0,0,0,32884
1990,1,11,1,0,0,32884.04167
1990,1,11,2,0,0,32884.08333
1990,1,11,3,0,0,32884.125
1990,1,11,4,0,0,32884.16667
1990,1,11,5,0,0,32884.20833
1990,1,11,6,0,0,32884.25
1990,1,11,7,0,0,32884.29167
1990,1,11,8,0,0,32884.33333
1990,1,11,9,0,0,32884.375
1990,1,11,10,0,0,32884.41667
1990,1,11,11,0,0,32884.45833
1990,1,11,12,0,0,32884.5
1990,1,11,13,0,0,32884.54167
1990,1,11,14,0,0,32884.58333
1990,1,11,15,0,0,32884.625
1990,1,11,16,0,0,32884.66667
1990,1,11,17,0,0,32884.70833
1990,1,11,18,0,0,32884.75
1990,1,11,19,0,0,32884.79167
1990,1,11,20,0,0,32884.83333
1990,1,11,21,0,0,32884.875
1990,1,11,22,0,0,32884.91667
1990,1,11,23,0,0,32884.95833
1990,1,12,0,0,0,32885
1990,1,12,1,0,0,32885.04167
1990,1,12,2,0,0,32885.08333
1990,1,12,3,0,0,32885.125
1990,1,12,4,0,0,32885.16667
1990,1,12,5,0,0,32885.20833
1990,1,12,6,0,0,32885.25
1990,1,12,7,0,0,32885.29167
1990,1,12,8,0,0,32885.33333
1990,1,12,9,0,0,32885.375
1990,1,12,10,0,0,32885.41667
1990,1,12,11,0,0,32885.45833
1990,1,12,12,0,0,32885.5
1990,1,12,13,0,0,32885.54167
1990,1,12,14,0,0,32885.58333
1990,1,12,15,0,0,32885.625
1990,1,12,16,0,0,32885.66667
1990,1,12,17,0,0,32885.70833
1990,1,12,18,0,0,32885.75
1990,1,12,19,0,0,32885.79167
1990,1,12,20,0,0,32885.83333
1990,1,12,21,0,0,32885.875
1990,1,12,22,0,0,32885.91667
1990,1,12,23,0,0,32885.95833
1990,1,13,0,0,0,32886
1990,1,13,1,0,0,32886.04167
